komentar,final_cleaned,label
"aku pernah beli teler duren deket rumah yang emang enak,, aku makan ditempat, memang ada daging durennya. terus aku bungkus buat orang rumah, dikasih daging duren bener loh,,tapi baru dibuka beberapa jam setelahnya, ilang dagingnya udah nyampur sama kuahnya",beli teler duren deket rumah emang enak makan tempat daging duren bungkus orang rumah kasih daging duren bener buka telah ilang daging nyampur kuah,neutral
ternyata mata birunya itu asli kak bukan softlens??????,mata biru asli softlens,neutral
Papa jaga nyamuk guys😂😂😂😂😂,papa jaga nyamuk guys,neutral
Wih ada barbie❤❤❤,barbie,positive
Seru juga ngevlog bertiga berasa kekeluargaan harmonis😊❤,seru ngevlog tiga keluarga harmonis,positive
ekspresi papah nya jesiica  gak bisa boong dan gak berubah mau enak atau engga datar banget...😂 lucu sih,ekspresi papah jesica bong ubah enak datar banget lucu,positive
"11 kucing, penasarannn jadinya",kucing penasaran,neutral
Ko Erwin botol minum kita sama😂,erwin botol minum,neutral
Sehat sehat papanya,sehat sehat papa,positive
"Suka liat papanya
Setiap ada papanya aku langsung suka",suka liat papa papa langsung suka,positive
Si erwin kekenyangan 😭😭🗿🗿,erwin kenyang,neutral
"kak kenapa jarang up video, pantes kok jarang muncul beranda. apa cuma perasaan aja. ternyata emang iya jarang up

btw kaget bangetttt dandannya comell, kek ala barbie. mau ngapain pas lihat thumbnail, tp judulnya riview ehehehe",jarang video pantes jarang muncul beranda emang jarang ngomong ngomong kaget banget dandan comel barbie ngapain lihat thumbnail judul riview ehehehe,positive
Ci jen sehat2 yaaa.. kok auranya rada beda .. lebih cantik.. apakah sdng hamil ... Pokoknya sehat2 selalu,sehat2 aura rada beda cantik sdng hamil pokok sehat2,positive
"ngikutin ci jane dari 2019 dan skrg ngeliat mulai banyak komen negatif hmm, semakin tinggi popularitas seseorang maka akan semakin dituntut untuk jadi sempurna, tetap semangat bikin videonya ya cicii, aku menantikan setiap video² kebersamaan kalian❤❤",ngikutin jane 2019 ngeliat komen negatif popularitas tuntut sempurna semangat bikin video cici video sama,positive
Cobain makanan dengan papanya Ci Jen seru bangeeeeetttttttt....😁😊,cobain makan papa seru banget,positive
review makanannya putri padang cobaa kaa jennn 😘😘🤗🤗🤗🤗🤗,review makan putri padang coba,neutral
"Sering "" ci ngontennya dong ,sama Jess no limit juga ngonten bareng",ngontenya limit ngonten bareng,neutral
"Hehhh manusia2 tukang atur hidup org, hidup kalian aja gak teratur bisa2 nya perintah2 org sruh ini itu, sampe ada yang bilang jane pick me lah karna gak ikutin omongan kalian, kalo gak suka yah gak usah di tonton, ribet banget sama hidup org!!!!",manusia2 tukang atur hidup hidup atur bisa2 perintah2 sruh sampe bilang jane pick karna ikutin omong suka tonton ribet banget hidup,positive
Jess coba ngonten snack pedes diindo/alfa sepedes apa sih,coba ngonten snack pedes dindo alfa sepedes,neutral
lucu banget papanyaa,lucu banget papanya,positive
Sehat selalu👍👍👍,sehat,positive
Aaaaaa jadi inget dulu pas aku kecil sempet sakit gatel sebadan badan terus sama bapak diajak kelaut dan dimandiin pake air laut😭😭😭 ternyata ada fungsinya ya😭😭,inget sempet sakit gatel badan ajak laut dimandin pake laut fungsi,neutral
"aku ngerasanya ga ada yang salah kok, biasa ajaa ci jen juga selalu ngasih papah nya buat bicara dan dengerin sampe selesai, sampe ku ulang² bagian mana yg banyak motong nya, huhu semangaaat yaaa ci jane❤",ngerasanya salah ngasih papah bicara dengerin sampe selesai sampe ulang motong huhu semangat jane,positive
"Aku kasih masukannya beda.. tolong jane pas shoot makanannya agak lama, lebih detail jg.. thanks❤
Buat papa jane tinggiin dong suaranya ehee🎉",kasih masuk beda tolong jane shot makan detail thanks papa jane tingin suara,positive
Kak Jane sekarang papa nya udah pemakan segala ya,jane papa makan,neutral
Cowoknya soft spoken 🥹✨,cowok soft spoken,positive
"Saran aja ya Jane,klu review makanan di rmh, usahakan prepare dulu cr tau ttg apa yg mau di review,suruh tim buat papan penjelasan di depan km,Jd kamu nggak byk nanya org di sekitar mu spy km Lbh profesional,trs perbanyak kosakata bahasa yg buat org Tdk bosan Krn selama ini kesannya di ulang2 trs cara mendeskripsikan nya,Jd viewers mu udah tau km klu ngereview pasti ngomong nya itu2 aja makanya byk yg bilang bosan dan ngasih saran dan kritik dan pasti klu buat konten terlalu bergantung Sm penjelasan papanya Krn dianggap Lbh tau pdhl di sini km yg hrs menonjol,spy viewers fokus ke km ,selama ini netizen minta papamu ikut Krn dia byk tau Krn udah pengalaman sdgkn km hanya ingin di bantu trs,jadi ketika km bicara org Lbh senang dgn penjelasan di papah km, makanya byk hate km Krn yg punya YouTube nggak Bs menjelaskan,jgn terlalu ikuti request netizen utk selalu review Sm papamu itu nti Jd kelemahan mu Krn klu Tdk lg ngumpul papamu yg selalu di cari, mending fokus utk mengembangkan skill km sendiri dgn belajar atau cr inovasi dr cara ngomong ,penampilan ,tempat shooting lbh kreatif Lg,jgn terlalu memaksa kan org lain ikut shooting klu orglain kecapean, kekenyangan,atau mood nya krg bagus,Krn keliatan banget ekpresinya Sm semangat dia utk ngonten, usahakan ada breafing sebelum shooting,contoh konsep buat konten yg prepare itu Andersen sister, moodnya mereka bagus dan excited pas shooting Sm komunikatif jg.",saran jane review makan usaha prepare review suruh papan jelas nanya profesional banyak kosakata bahasa bosan kesan ulang2 deskripsi viewers ngereview ngomong itu2 bilang bosan ngasih saran kritik konten gantung jelas papa angap pdhl tonjol viewers fokus netizen papa alam sdgkn bantu bicara senang jelas papah hate youtube ikut request netizen review papa lemah ngumpul papa cari mending fokus kembang skil ajar inovasi ngomong tampil shoting kreatif paksa shoting orglain cape kenyang bagus liat banget ekpresinya semangat ngonten usaha breafing shoting contoh konsep konten prepare andersen sister modnya bagus excited shoting komunikatif,negative
"Ngeliat hair style jane ini, kaya ""jini oh jini"" film dulu masa kecil!!! 😂😂😂",ngeliat hair style jane film,neutral
"Di video kali ini, kamu cantik bangat",video kali cantik bangat,positive
Kurang lama durasinyaaa,durasinya,neutral
Tumben papanya mau makan goreng²an dan pertepungan mana sukaa lagi😂,tumben papa makan goreng tepung suka,neutral
"Dimsum crot ka itsfrday emang seenak itu buat kaum mendang mending kaya aku, harga segitu worth it bgt sih ga ngecewain",dimsum crot itsfrday emang enak kaum dang mending harga segitu worth banget ngecewain,neutral
Cookies minbite,cokies minbite,neutral
Salam kenal dari Tabanan Bali semoga sehat selalu kak,salam kenal taban moga sehat,neutral
Jando itu lemak tapi bagian dari PD nya sapi betina kak😂,jando lemak sapi betina,neutral
Ada yg tau ga hijab yg dipake tasyi apa?,hijab dipake tasyi,neutral
Cheesecake mochi,chesecake mochi,neutral
Kak tasyii coba makan baso nya kaa maudy,tasyi coba makan baso maudy,neutral
Kaaa tasyi please cobain jajanan blok M yg lagi viral😭😭😭😭,tasyi tolong cobain jajan blok viral,neutral
Beli dimana ya guys smua itu? Tertarik bgt sm basreng dan cireng kejunya,beli mana guys smua tarik banget basreng cireng keju,neutral
Cakep poll look nya kak tasyi❤,cakep tasyi,positive
kak cobain pentol dapur estetok punya bu trisha zia,cobain pentol dapur estetok trisha,neutral
Ka tasyi make pasminah gitu bagus banget,tasyi make pasminah bagus banget,positive
Ka rikues ceker mercon,rikues ceker mercon,neutral
Battle basreng dong kak,batle basreng,neutral
"bakso mercon punya kak maudy, enak banget kak itu, wajib cobainn",bakso mercon maudy enak banget wajib cobain,neutral
kak katanya cireng ndut itu nyuri resep gtu.. dari cireng nya chef mamut coba review itu kak,cireng ndut nyuri resep cireng chef mamut coba review,neutral
Kaka ga ad suaranyaa,kaka suaranya,neutral
Sukaa bnget cara reaviw x❤,suka bnget reaviw,positive
ko di aku ga ada suaranya yah😢,suara,neutral
ayam isfriday,ayam isfriday,neutral
KAK tasyi kok cantik banget deh insecure,tasyi cantik banget insecure,positive
izin clips kk,izin clips,neutral
"ci coba review ayam nya ikyrizky itu dong, harganya 20k aja",coba review ayam ikyrizky harga,neutral
"Gak heran sih klo cie mehong jualan nya mahal, karna dia buat gaji karyawan 😂😂😂",heran mehong jual mahal karna gaji karyawan,neutral
Ka bground nya bikin sskit mata tp vidio nya bgus saran gnti yg adem ka,bground bikin skit mata vidio bgus saran gnti adem,negative
Ogah banget beli yang mahal-mahal. Biarin aja influencer yang beli,ogah banget beli mahal mahal biarin influencer beli,negative
"Selalu salfok sama backgroundnya.. Dan kak febby yg cantik bgt...
Auranyaaa bersinar... 
Salam kenal kak febby dari Purbalingga...",salfok backgroundnya feby cantik auranya sinar salam kenal feby purbalinga,positive
editornya siapa si kocak bgt editannya bgussa,editor kocak banget edit bgusa,positive
Gk prnh bosan nontonnya,prnh bosan nontonya,positive
Nutella nya kayak kuku kamu kak😁,nutela kayak kuku,neutral
Padet ya gais bukan keras.. tolong bedakan,padet gais keras tolong beda,neutral
Kaka coba kalo makan pake plastic gloves biar tangan Kaka ga kotor kena minyak,kaka coba makan pake plastic gloves biar tangan kaka kotor kena minyak,positive
Aku malah pengen nyobain yang kue pepe itu kak.warnanya ijo cantik,nyobain pepe warna cantik,neutral
"akuuuu, yg gatau Pinkan Mambo tiba tiba jualan donat viral wkwk",gatau mambo jual donat viral wkwk,neutral
Donat2 ..,donat2,neutral
Cobain mie lidi gehel kak,cobain lidi gehel,neutral
Kakanya klu review baik bgt dan sopan suka nontonnya,kakanya review banget sopan suka nontonya,positive
salfok ka febby cantik bgt kaaaa,salfok feby cantik banget,positive
Salfok sama kak pebbi cantik bnget😍,salfok pebi cantik bnget,positive
Aku pikir kue pulut nya jamuran😂 pin plss,pikir pulut jamur,neutral
"PLEASEEEE JANGAN NORMALISASIIN ""MAKANAN ARTIS / INFLUENCER"" yg dijual MAHAL pleaseeeeee i beg u guys. ini ga normal! tau ko mereka jg cari nafkah, berjualan layaknya non artis, cuma harga segitu ga wajar & yg ada kl dinormalissiin nnt semua makanan jd ikut mahal huhuuuu. better larisin umkm :(( banyak yg enak dg harga yg normal ko

tau koo ini emang hak kak feby / influencer lain yg memang banyak uang untk review ina itu, tp please.... sadar gasih skrg banyak yg jualan kue / makanan lain dg harga selangit, tp kdg rasanya ga sesuai harga? huhuuu sedih",please normalisasin makan artis influencer jual mahal please guys normal cari nafkah jual layak artis harga segitu wajar dinormalisin makan mahal huhu beter larisin umkm enak harga normal emang feby influencer uang untk review please sadar gasih jual makan harga langit sesuai harga huhu sedih,neutral
Ngikutiin kak pebbi dari jaman pengantin baru sampai sekarang anak ku udah tk 😂,ngikutin pebi jaman pengantin anak,neutral
"Jessica kayaknya kalau review takut menyinggung dan menyakiti hati ownernya ya, setiap dia rasa ada yg kurang, dia malah menyalahkan dirinya kayak “aku gorengnya gak double fried” “ini cukup manis sih, aku berharap agak asem eh tapi orang orang kan emang suka yg manis ya” something like that",jesica kayak review takut singung sakit hati ownernya salah kayak goreng double fried manis harap asem orang orang emang suka manis something like that,neutral
"sebenernya kalo nonton ci jane review makanan, berasa kaya makan bareng sm temen, sama-sama awam dan honest review gituuu wkwkw seru tauuu",sebenernya nonton jane review makan makan bareng temen awam honest review gitu wkwkw seru,positive
"kalau ga suka mah jujur aja, ya meski itu makanan influence, selera org kan beda2 ya, dan ini kan bahas selera kak jane",suka jujur makan influence selera beda2 bahas selera jane,neutral
suka banget liat view dapur rumah jane berasa cerah jd fresh gituu,suka banget liat view dapur rumah jane cerah fresh gitu,positive
GUA SENENG BANET SAMA NI KOPEL 🎉🎉❤,neng banet kopel,positive
kak jessica,jesica,neutral
"11:53 ""biasa ny cuanki sekeras batu kan?"" 
sejak kapan cuanki sekras batu, lu beli cuanki dimna sekeras batu?",cuanki keras batu cuanki sekras batu beli cuanki dimna keras batu,negative
markibok kayaknya mari kita lebok deh (lebok artinya kayak makan gtuu,markibok kayak mari lebok lebok kayak makan,neutral
lucu bgtt masi malu2🤣 skrng uda pro,lucu malu2,positive
"menurut gue ci jane terlalu jauh tag video nya jadi nonton nya ga seenjoy dulu ngeliat walaupun ada sepotong video yg di dktin ke muka nya, pendapat ku ya guys",jane video nonton senjoy ngeliat potong video dktin muka dapat guys,neutral
"Apa cmn aku aja ya yg dgr ci jane byk ulang2 kata "" tapi""",jane ulang2,neutral
"Ci jane pleaseee review kaya dulu jangan ragu buat ngomong apa yang kamu suka, karena penonton lama pasti tau maksd kamu dan selera kamu semangat ci❤",jane please review ragu ngomong suka tonton maksd selera semangat,positive
"lucu bgt tiap lakinya asbun, kak jessica kayak ""😩😩😩😩"" 😭😭😭",lucu banget laki asbun jesica kayak,positive
Jauhh bgt kameranyaa cii,jauh banget kameranya,neutral
"masih mending review yg dlu soalnya makanan nya lebih keliatan jelas soalnya dekat, kalo sekarang kejauhan",mending review makan liat jauh,negative
Erwin lu laper atau doyan,erwin laper doyan,neutral
ko erwin kek cwoku bgt klo mkan cmn tau enak sma ga enak doang😭,erwin cwoku banget mkan enak enak doang,neutral
21:58 kesenjangan sosial😭,senjang sosial,neutral
Seru bgt kl ad ko Erwin kakakakakkakaka,seru banget erwin kakakakakakaka,positive
"Seperti biasa,gak suka,tapi ludes..😅",suka ludes,negative
ngakak bgt tekstur nya cepet ilang di mulut😭,ngakak banget tekstur cepat ilang mulut,neutral
"kak mau kasih saran, kameranya agak dideketin😽",kasih saran kamera dideketin,positive
Ditunggu kak Erwin x jesnolimit,tungu erwin jesnolimit,neutral
Jesss kurangin apa pikmi nyaa,rangin pikmi,negative
"kusaranin kalo goreng cireng tu kak jangan terlalu sampai coklat garing gitu warnanya,yg awal keliatan keras karena terlalu garing kenya,apalagi kulit cirengnya fahri tu lumayan tebel,jadi gorengnya sedang sedang aja",kusaranin goreng cireng coklat garing warna liat keras garing kenya kulit cirengnya fahri lumayan tebel goreng,neutral
markibok itu mari kita lebok haha 😂  lebok bahasa sunda artinya makan ( tapi agak kasar),markibok mari lebok haha lebok bahasa sunda makan kasar,neutral
"Pangling bgt liat ci Jane rambutnya gini. Tambah cantik n entah knp jd agak mirip song hye Kyo ga sih? 😅

Eniweiiii.. suka bgt sm reviews nya ci Jane. Jgn ragu atuh kalo emang kurang rasanya, soalnya kita sbg viewers butuh honest review, ci.. 
Semangat bikin konten terus yah ci ❤",pangling banget liat jane rambut cantik song eniwei suka banget reviews jane ragu atuh emang viewers butuh honest review semangat bikin konten,positive
Erwin keliatannya masih grogi ya wkwk,erwin liat grogi wkwk,neutral
Pacarnya ka jess lawak bgttt😂,pacar lawak,positive
Kenapa ga masak saat mau makan? Itukan sudah lama jadi ya keras,masak makan keras,neutral
"saran ci, videonya agak di zoom lagi soalnya kejauhan",saran video jauh,positive
Mungkin gorengnya terlalu lama atau apinya kebesaran janee...,goreng besar jane,neutral
"kameranya jauh benerr ci, makanannya ga keliatan jelas😭",kamera bener makan liat,neutral
cii janee pake wig? cakep bgttt😍😍,jane pake cakep,positive
Lama bet dah gua ga liat channel kak indira . Salam dari malaysia kak 🎉,banget liat chanel indira salam malaysia,neutral
"1,2,3 nya di ganti bismillah coba ka",ganti bismilah coba,positive
"Siomay kan Termasuk Dimsum gak si?  Dimsum itu Adalah Makanan Kecil seperti bakpao,lumpia dan hakau jadi bukan mana yang dominan atau nggak, jadi siomay itu yaaa emang Dimsum/makanan hidangan kecil tradisional tiongkok",siomay dimsum dimsum makan bakpao lumpia hakau dominan ngak siomay emang dimsum makan hidang tradisional tiongkok,neutral
"Dari kemaren maju mundur mau beli dimsum jinji apa iya seenak di review orang"" 

Di reviews indira detail nih , ok skip dulu deh",kemaren maju mundur beli dimsum jinji enak review orang reviews indira detail skip,neutral
Kan itu saladnya tertulis kalau wip creamnya less wip cream ka makanya rasanya light,saladnya tulis creamnya cream light,neutral
"KAKAK SOMAY ITU JENIS DIMSUM, SOMAY ITU YA DIMSUM",kakak somay jenis dimsum somay dimsum,neutral
Kata gua mah ya ka lu kalo mau Ngeriview harus netralin dlu mulut lu pake aer putih setiap mau nyicip yng laen,ngeriview netralin mulut pake putih nyicip laen,negative
Pdhl dimsum bukan nama makanan wkwkwk dan somay adalah salah satu jenis dimsum. Nah yang dimakan itu emang namanya siomay 😅,pdhl dimsum nama makan wkwkwk somay salah jenis dimsum makan emang nama siomay,neutral
iii seru bgt editannya,seru banget edit,positive
"semua balik ke selera masing2 ya guys, yg menurut orang enak blm tentu menurut kita enak",selera masing2 guys orang enak enak,neutral
"Dimsum nya kok kaya siomay sihhh, orang sekelas tasyi yg review kritik aja bilang nya daging bangettt malahan yang kureng nya ada di saus nya kok ini terbalik yg enak malah saus nya tapi aku kalo foodvloger lebih percaya tasyi sihhh",dimsum siomay orang kelas tasyi review kritik bilang daging banget reng saus balik enak saus fodvloger percaya tasyi,negative
semangaatt mbalaaa!!,semangat mbala,positive
"Maaf kak indira aku penonton dri jaman dlu kak indira, masukan dri aku klo review di search dlu yg reviewnya kaya dimsum jinji itu saus bolognese nya kenapa warnany gtu krna saus bolognese creamy kak indira, kaya pas itu review ikan laut pedes juga kak indira bilang klo pake ikan tongkol tpi itu sebenarnya ikan tuna maaf sebelumnya 🙏🏻🙏🏻",indira tonton jaman indira masuk review search reviewnya dimsum jinji saus bolognese warnany krna saus bolognese creamy indira review ikan laut pedes indira bilang pake ikan tongkol ikan tuna,negative
ini salad buah sehat kak gak pake mayo dan skm,salad buah sehat pake mayo,neutral
Kapan bikin indira bukan praktek,bikin indira praktek,neutral
Mantep yg ngedit mantep juga ni cerah kamera nya mantep,mantep ngedit mantep cerah kamera mantep,positive
Awaaa makasihhh video mbala makin fresh bagusss pertahankan awaaa,makasih video mbala fresh bagus tahan,positive
Nggak tau kenapa selalu suka sama konten YouTube kak Indira mau itu konten tutorial makeup atau vlog random semoga kak indra sehat selalu iya kak amin ya kak 🥰🥺,suka konten youtube indira konten tutorial makeup vlog random moga indra sehat amin,positive
Akhirnya di up juga video youtubenya sama kak Indira semangat terus buat kontenya kak Indira aku sayang 🤗💓,video youtubenya indira semangat konte indira sayang,positive
"buat kintan saran pas bacain harga jangan cuma bacain paket bundling nya aja ya tapi harga satuannya juga, karena kita kadang mau beli makanan yang satuan aja",kintan saran bacain harga bacain paket bundling harga satu kadang beli makan satu,neutral
Awaaa editan kamu ajib bener fresh gitu cute juga dna pstinya di tambah banyak backsound lucu tambah bikin ajiib 😍😍 luv bangeeed,edit ajib bener fresh cute pstinya backsound lucu bikin ajib banged,positive
video mba la+editan awa best bangett 🤩 keep up a good work awaaa 🤏🏻🤍,video edit best banget work,positive
ini terus aja mbala editannyaa,mbala editanya,neutral
"Dendengnya bikin ngiler, apalagi pas mbala makan😂❤",dendeng bikin ngiler mbala makan,positive
kasih bonus ke awa editan paling baguss inii ibukk jngan lupa kasih bonus ke awaaaa❤,kasih bonus edit bagus ibuk jngan lupa kasih bonus,positive
"ka indira, urutan rank enak/ engganya tu bukannya yang paling atas tu jos gandos krotos"" sapole, jos gandos krotos"", wenak tenan dlu bukan si? abis itu baru mantep aja? ko mantep aja bintangnya 3 si? bukannya hrsnya 2 ya klo dri urutannya?",indira urut rank enak enganya gandos krotos sapole gandos krotos wenak tenan banget mantep mantep bintang hrsnya urut,neutral
Ahhhhhh awa maciii editannya kerennn ga ngeboseninn😍,maci edit keren ngebosenin,positive
"Inilaahh editannn ygg diinginkann, nyaman bgtt nontonnyaa ibukk",inilah editan dinginkan nyaman nontonya ibuk,positive
Kak bajunya cantik begtu deh cantik dan makananya enak deh❤😂😂😂😂,baju cantik begtu cantik makananya enak,positive
Klo urusan review aku paling percaya sama dia.. krn selera dia bener2 di aku masuk bgt,urus review percaya selera bener2 masuk banget,positive
selalu sukaaa riview Tasyi 👍👍👍,suka riview tasyi,positive
temanya juga lsg berubah jadi ungu ngikutin jilbab dan baju kak tasyi,tema ubah ungu ngikutin jilbab baju tasyi,neutral
Baru aja makan ase cabe gendot...cuman kuat makan satu biji....tak sanggup pedesnya ...,makan cabe gendot cuman kuat makan biji sangup pedesnya,neutral
